Artist,Primary Artist 1,Primary Artist 2,Primary Artist 3,Primary Artist 4,Primary Artist 5,Primary Artist 6,Primary Artist 7,Primary Artist 8,Secondary Artist 1,Secondary Artist 2,Secondary Artist 3,Secondary Artist 4,Secondary Artist 5,Secondary Artist 6,Secondary Artist 7,Secondary Artist 8,Secondary Artist 9,Highlight Red
"""Groove"" Holmes",Groove Holmes,,,,,,,,,,,,,,,,,False
"""Little"" Jimmy Dickens",Little Jimmy Dickens,,,,,,,,,,,,,,,,,False
"""Pookie"" Hudson",Pookie Hudson,,,,,,,,,,,,,,,,,False
"""Weird Al"" Yankovic",Weird Al Yankovic,,,,,,,,,,,,,,,,,False
$NOT & A$AP Rocky,SNOT,ASAP Rocky,,,,,,,,,,,,,,,,False
$uicideboy$,SuicideboyS,,,,,,,,,,,,,,,,,False
'Til Tuesday,'Til Tuesday,,,,,,,,,,,,,,,,,False
(+44),(+44),,,,,,,,,,,,,,,,,True
(The Preacher) Bobby Womack,(The Preacher) Bobby Womack,,,,,,,,,,,,,,,,,True
*NSYNC,*NSYNC,,,,,,,,,,,,,,,,,False
*NSYNC & Gloria Estefan,*NSYNC,Gloria Estefan,,,,,,,,,,,,,,,,False
*NSYNC Featuring Nelly,*NSYNC,,,,,,,,Nelly,,,,,,,,,False
1 Of The Girls,1 Of The Girls,,,,,,,,,,,,,,,,,False
10 Years,10 Years,,,,,,,,,,,,,,,,,False
"10,000 Maniacs",10,000 Maniacs,,,,,,,,,,,,,,,,False
100 Proof Aged in Soul,100 Proof Aged in Soul,,,,,,,,,,,,,,,,,False
100 Strings and Jono (Choir of 40 Voices),100 Strings and Jono (Choir of 40 Voices),,,,,,,,,,,,,,,,,True
10cc,10cc,,,,,,,,,,,,,,,,,False
112,112,,,,,,,,,,,,,,,,,False
112 Featuring Foxy Brown,112,,,,,,,,Foxy Brown,,,,,,,,,False
112 Featuring Lil'z,112,,,,,,,,Lil'z,,,,,,,,,False
112 Featuring Ludacris,112,,,,,,,,Ludacris,,,,,,,,,False
112 Featuring Mase,112,,,,,,,,Mase,,,,,,,,,False
112 Featuring Super Cat,112,,,,,,,,Super Cat,,,,,,,,,False
112 Featuring The Notorious B.I.G.,112,,,,,,,,The Notorious B.I.G.,,,,,,,,,False
12 Gauge,12 Gauge,,,,,,,,,,,,,,,,,False
1910 Fruitgum Co.,1910 Fruitgum Co.,,,,,,,,,,,,,,,,,False
1927,1927,,,,,,,,,,,,,,,,,False
2 Chainz,2 Chainz,,,,,,,,,,,,,,,,,False
